Gene	nascentRNA	PCNA	log2ratio
APEX1	677.1360544217687	224.4625850340136	1.5929707515753075
APEX1	540.890625	193.2109375	1.4851601259874645
APEX1	498.1666666666667	211.5873015873016	1.2353754444805192
APEX1	531.2704918032787	186.98360655737704	1.506534793828544
APEX1	305.3611111111111	159.22222222222223	0.9394746381349295
APEX1	560.7327586206897	171.7844827586207	1.7067136319409233
APEX1	482.3103448275862	177.5977011494253	1.4413488467051383
APEX1	552.5986842105264	191.13815789473685	1.5316163072536577
APEX1	554.7482517482517	211.4265734265734	1.3916765007354128
APEX1	411.69607843137254	165.98039215686273	1.310566885444704
APEX1	519.1208053691275	182.18791946308724	1.5106430094191994
APEX1	565.12	200.56	1.4945233468145267
APEX1	306.88235294117646	159.69607843137254	0.9423568012859468
APEX1	506.4634146341463	171.4878048780488	1.5623520721686563
APEX1	382.3192771084337	163.89156626506025	1.2220363284816778
APEX1	428.025	175.88333333333333	1.2830762839191518
APEX1	357.51612903225805	185.7016129032258	0.9450219835111552
APEX1	342.640625	164.36458333333334	1.0597967479520052
APEX1	318.3805309734513	160.39823008849558	0.989093895031311
APEX1	578.1459854014598	203.32116788321167	1.5076734052494942
APEX1	504.37931034482756	199.32758620689654	1.339367709786743
APEX1	511.52777777777777	200.35555555555555	1.3522500715022416
APEX1	374.94642857142856	160.77678571428572	1.2216253683150606
APEX1	549.9635036496351	218.20437956204378	1.3336558243802141
APEX1	467.624	179.384	1.382297759553941
APEX1	482.76335877862596	190.25954198473283	1.3433473709875938
APEX1	530.1666666666666	197.68965517241378	1.4232085872473166
APEX1	423.7543859649123	177.1140350877193	1.258549760153641
APEX1	499.79	176.01	1.5056646378457745
APEX1	455.00840336134456	176.8235294117647	1.363582927201981
APEX1	502.21238938053096	200.31858407079645	1.3260013498702345
APEX1	414.6060606060606	166.3409090909091	1.3175981837417476
APEX1	427.59016393442624	172.172131147541	1.3123770283845324
APEX1	570.1897810218978	198.27007299270073	1.523975250714889
APEX1	554.9127516778524	222.9731543624161	1.315390933682547
